Pin Variable Name,Pin Description,Assigned Nucleo Pin
Pin_LCWP,LCWP,PC_6
Pin_RF_SW_1,RF_SW_1,PB_15
Pin_RF_SW_2,RF_SW_2,PB_13
Pin_AD9959_Reset,AD9959_Reset,PB_12
Pin_AD9959_SDIO_3,AD9959_SDIO_3,PA_15
Pin_AD9959_IO_Update,AD9959_IO_Update,PC_7
Pin_AD9959_SDIO_0,AD9959_SDIO_0,PB_5
Pin_AD9959_SCLK,AD9959_SCLK,PB_3
Pin_AD9959_CSB,AD9959_CSB,PA_4
Pin_AD9959_MISO,AD9959_MISO,PB_4
Pin_AD9910_X,AD9910_X,PB_8
Pin_AD9910_X,AD9910_X,PB_9
Pin_AD9910_X,AD9910_X,PA_5
Pin_AD9910_X,AD9910_X,PA_6
Pin_AD9910_X,AD9910_X,PA_7
Pin_AD9910_X,AD9910_X,PD_14
Pin_AD9910_X,AD9910_X,PD_15
Pin_AD9910_X,AD9910_X,PF_12
Pin_CAM_1,CAM_1,PB_2
Pin_CAM_2,CAM_2,PD_13
Pin_SynthHD_1,SynthHD_1,PD_12
Pin_SynthHD_2,SynthHD_2,PD_11
Pin_ANT_1,ANT_1,PE_2
Pin_ANT_2,ANT_2,PA_0
Pin_MOTC,MOTC,PB_0
Pin_RBDP,RBDP,PE_0
Pin_AD9910_X,AD9910_X,PF13
Pin_AD9910_X,AD9910_X,PE9
Pin_AD9910_X,AD9910_X,PE11
Pin_AD9910_X,AD9910_X,PF14
Pin_AD9910_X,AD9910_X,PE13
Pin_SHIM_1,SHIM_1,PF_15
Pin_SHIM_2,SHIM_2,PG_14
Pin_SHIM_3,SHIM_3,PG_9
Pin_SHTR_8,SHTR_8,PE_8
Pin_SHTR_7,SHTR_7,PE_7
Pin_SHTR_1,SHTR_1,PE_10
Pin_SHTR_2,SHTR_2,PE_12
Pin_SHTR_3,SHTR_3,PE_14
Pin_SHTR_4,SHTR_4,PE_15
Pin_SHTR_5,SHTR_5,PB_10
Pin_SHTR_6,SHTR_6,PB_11
